iso_code,country,year,empratio,gdpcap,laborshare,whours,empratio_fraction,estimated_hourly_wage,log_estimated_hourly_wage
POL,Poland,2016,53.553,32645.80313,0.564882874488831,2051.47934433561,0.53553,16.78552048893517,2.82051663912222
POL,Poland,2017,54.537,34323.58045,0.569659471511841,2029.35825927061,0.54537,17.666801916625456,2.871687280512752
POL,Poland,2018,55.115,36467.45569,0.5797079205513,2002.15146582783,0.55115,19.157902422952535,2.9527152896682916
POL,Poland,2019,55.375,38147.14935,0.5797079205513,2022.63223188477,0.55375,19.744250887087517,2.9828623546462714
PRT,Portugal,1991,58.589,28418.10462,0.642972588539124,1893.14306790613,0.58589,16.47358215140627,2.8017580160724744
PRT,Portugal,1992,56.605,28750.05741,0.642972588539124,1876.25604348235,0.5660499999999999,17.405410711883235,2.8567811183353617
PRT,Portugal,1993,55.45,28128.18752,0.642972588539124,1863.66193020612,0.5545,17.5011071074245,2.862264142209831
PRT,Portugal,1994,54.581,28323.26157,0.642972588539124,1859.32958282557,0.54581,17.944768251382246,2.8872986101323534
PRT,Portugal,1995,54.145,29434.20575,0.642972588539124,1897.71780842486,0.54145,18.418522481179615,2.9133568148618254
PRT,Portugal,1996,54.23,30351.35114,0.657716631889343,1898.77130081848,0.5423,19.386731252846776,2.964588876025819
PRT,Portugal,1997,55.258,31545.91883,0.653558790683746,1893.72051930463,0.5525800000000001,19.702293981423153,2.9807350747221824
PRT,Portugal,1998,57.758,32895.9616,0.657971978187561,1909.18666235774,0.57758,19.628605479866035,2.976987965513543
PRT,Portugal,1999,57.868,33988.27498,0.656391143798828,1910.95426129684,0.57868,20.174513509970975,3.0044201003570232
PRT,Portugal,2000,58.484,35038.191,0.655944645404816,1920.56145946139,0.58484,20.46178838926834,3.01855916575868
PRT,Portugal,2001,59.097,35468.20185,0.658590495586395,1903.93170490186,0.59097,20.760500980158987,3.03305218999876
PRT,Portugal,2002,59.227,35546.42461,0.656217873096466,1896.985395918,0.59227,20.76157309380742,3.0331038306584612
PRT,Portugal,2003,58.182,35083.70188,0.654438257217407,1889.95547224711,0.58182,20.88016244984524,3.0387995431491746
PRT,Portugal,2004,57.618,35625.96262,0.647274017333984,1896.08761931843,0.57618,21.107568153877583,3.0496316564501855
PRT,Portugal,2005,57.154,35837.95073,0.654262721538544,1898.14400431664,0.57154,21.613224071845615,3.0733053529049226
PRT,Portugal,2006,57.301,36354.71135,0.641949951648712,1886.33868551985,0.57301,21.59135999895833,3.0722932346205347
PRT,Portugal,2007,57.225,37192.88819,0.622977316379547,1903.48428751497,0.57225,21.271447319704148,3.057365672017264
PRT,Portugal,2008,57.319,37257.86409,0.626674234867096,1890.36186081852,0.57319,21.54846020240276,3.07030436167222
PRT,Portugal,2009,55.522,36060.25153,0.624882638454437,1890.7940400956,0.5552199999999999,21.464357037317793,3.06639374722453
PRT,Portugal,2010,54.609,36670.00422,0.619056880474091,1893.63561901986,0.54609,21.95234285811165,3.0888738699579337
PRT,Portugal,2011,52.823,36094.70444,0.608872592449188,1870.60332068172,0.52823,22.24155522361579,3.10196239605687
PRT,Portugal,2012,50.793,34773.236,0.589696109294891,1853.0901788735,0.50793,21.78577187203546,3.0812570902952054
PRT,Portugal,2013,49.679,34620.51244,0.583374440670013,1863.21646139361,0.49679,21.8194968456798,3.0828039208209885
PRT,Portugal,2014,50.61,35065.74833,0.578845798969269,1870.83419196586,0.5061,21.43751105232035,3.065142240486159
PRT,Portugal,2015,51.25,35771.05931,0.572560369968414,1878.60164954041,0.5125,21.272793147881856,3.0574289392498373
PRT,Portugal,2016,51.91,36603.24812,0.573324739933014,1884.82965078519,0.5191,21.448512308948327,3.0656552867425866
PRT,Portugal,2017,53.61,37908.8867,0.577965021133423,1873.61908133095,0.5361,21.81300394058879,3.0825063029892377
PRT,Portugal,2018,54.829,39088.32147,0.586291551589966,1867.85201222515,0.54829,22.37730945638584,3.1080474747623805
PRT,Portugal,2019,55.198,40152.03293,0.586291551589966,1864.58836048923,0.55198,22.87256465702049,3.1299381424129176
ROU,Romania,1995,46.32,14848.98006,0.471328347921371,1822.64540563805,0.4632,8.289903005926458,2.115038268949258
ROU,Romania,1996,46.909,15473.75424,0.465763181447983,1861.46354704354,0.46909,8.253727737393945,2.1106649452513353
ROU,Romania,1997,47.763,14765.8717,0.411178469657898,1860.52391920155,0.47763,6.832231943465183,1.921651405480426
ROU,Romania,1998,47.921,14496.12521,0.508443474769592,1859.14932530186,0.4792099999999999,8.272836935608607,2.112977489583309
ROU,Romania,1999,47.783,14464.21191,0.470236241817474,1850.04467781309,0.47783,7.694054250512685,2.04044785532067
ROU,Romania,2000,47.49,14839.40318,0.521739304065704,1852.99899736344,0.4749,8.798175793595648,2.174544403813025
ROU,Romania,2001,47.626,15833.15685,0.542675793170929,1852.48045940341,0.4762599999999999,9.738907043178957,2.2761288981320886
ROU,Romania,2002,46.749,17045.32267,0.523176431655884,1867.17617689761,0.46749,10.216350291132686,2.3239894066244577
ROU,Romania,2003,47.37,17570.65335,0.521696865558624,1837.05989926223,0.4736999999999999,10.533663392763264,2.354576166189839
ROU,Romania,2004,46.887,19513.81179,0.498999863862991,1886.58057142857,0.46887,11.00816005748588,2.3986368211911935
